NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00183011-01,CN1[C@H]2CC[C@@H]1C[C@@H](C2)NC(=O)N3C(=O)NC4=CC=CC=C34
NCGC00254957-01,COC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00016384-10,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
NCGC00017055-01,O.O.O.O.O.[Ca++].NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
NCGC00259717-01,CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC
NCGC00094792-01,NC1=NC2=C(NC=N2)C(=S)N1
NCGC00259246-01,CCOCCO
NCGC00257824-01,C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O
NCGC00256459-01,[K+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)COC3=CC=CC=C3)C([O-])=O
NCGC00256330-01,CCCCCC\C=C\CCCCCCCC(O)=O
NCGC00024257-04,Cl.CNC[C@H](O)C1=CC(O)=CC=C1
NCGC00255469-01,CC(C)NC(=O)C1=C(N)C=CC=C1
NCGC00259524-01,CC(O)CC(C)(C)O
NCGC00182851-01,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C
NCGC00257948-01,CC(C)(O)CCCC1=CCC(CC1)C=O
NCGC00257365-01,CC(C)CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCC(C)C
NCGC00255025-01,CC(C)C1=CC=C(C)CC1
NCGC00015547-02,O=C1CCC(=NN1)C2=CC=C(C=C2)N3C=CN=C3
NCGC00258271-01,CCCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
NCGC00254920-01,[Na+].[O-]S(=O)(=O)C1=CC2=C(C=CC=C2)C=C1
NCGC00091088-05,O1C=CC2=C1C=CC=C2
NCGC00258745-01,CC1=CC(=O)CC(C)(C)C1=O
NCGC00015162-04,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)C4=NC=CC=N4
NCGC00255122-01,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
NCGC00167508-01,[H][C@@]12C[C@H]3OC(C)=N[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]4([H])[C@@]2([H])CCC5=CC(=O)C=C[C@]45C
NCGC00259272-01,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
NCGC00255181-01,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC=C4
NCGC00256681-01,[Na+].[O-]S(=O)(=O)C1=CC=C(C=C)C=C1
NCGC00260143-01,[Na+].[O-][N+]([O-])=O
NCGC00259085-01,CCCCC(CC)COC(=O)C(C)=C
NCGC00096074-01,CCCC(C)C1(CC)C(=O)NC(O)=NC1=O
NCGC00016429-05,CC(C)NC[C@@H](O)COC1=C2C=CC=CC2=CC=C1
NCGC00255816-01,NC1=CC=C(C(N)=C1)S(O)(=O)=O
NCGC00255581-01,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2C(=O)N(C)C)=N1
NCGC00249414-01,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)S(=O)(=O)N(C)C)N(C)C
NCGC00259567-01,CC1=C(O)C=CC(Cl)=C1
NCGC00166260-01,CC1=CC(=C(O)C(=C1)N2N=C3C=CC(Cl)=CC3=N2)C(C)(C)C
NCGC00259291-01,O=CCCCC=O
NCGC00259506-01,CCCCOCCOCCOC(C)=O
NCGC00259544-01,CC(C)C1=NC(=O)C=C(C)N1
NCGC00016666-01,Br.COC1=C2CN(C)CCC2=CC3=C1OCO3
NCGC00181353-01,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CC\C(C=C4CC[C@@]23[H])=N/O
NCGC00183014-01,COC1=NC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1
NCGC00258395-01,COC(Cl)=O
NCGC00259385-01,CNC(=O)OC1=C2C=CC=CC2=CC=C1
NCGC00159452-02,FC1=CC2=C(OCC[C@]23NC(=O)NC3=O)C=C1
NCGC00167426-01,OS(=O)(=O)CCS(O)(=O)=O.CCN(CC)CCOC(=O)C1(CCCC1)C2=CC=CC=C2.CCN(CC)CCOC(=O)C3(CCCC3)C4=CC=CC=C4
NCGC00015439-06,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1
NCGC00258163-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC=C1
NCGC00257763-01,NCCNCCO
NCGC00255952-01,CCCSP(=S)(OCC)OC1=C(Cl)C=C(Cl)C=C1
NCGC00181301-01,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
NCGC00247718-01,Cl.NC1(CCCCC1)C2=CC=CC=C2
NCGC00260384-01,OP(O)(O)=O.OP(O)(O)=O.CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
NCGC00253960-01,ClC1=CC(Cl)=CC=C1
NCGC00259838-01,CCC[N+]([O-])=O
NCGC00259571-01,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
NCGC00260259-01,[O-]S(=O)(=O)C(F)(F)F.CCC[N+]1(C)CCCC1
NCGC00258864-01,NC1=C(C=CC(=C1)[N+]([O-])=O)C(O)=O
NCGC00164553-01,NC1=NC(Cl)=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F
NCGC00257443-01,CC1=CC=C(S)C=C1
NCGC00255307-01,OC1=CC2=C(C(=O)C=C(O2)C3=CC=CC=C3)C(O)=C1
NCGC00257872-01,ClC(=O)C1=C(Cl)C=CC=C1Cl
NCGC00168775-01,Br.NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C4=CC=CC=C4)C5=CC=CC=C5
NCGC00254824-01,CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C2=CC=CC=C2
NCGC00259585-01,ClC1=CC=CC(=N1)C(Cl)(Cl)Cl
NCGC00168787-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CC\C(C=C4CC[C@@]23[H])=N/O
NCGC00256264-01,[Cl-].CC(=C)C(=O)NCCC[N+](C)(C)C
NCGC00257821-01,O=NN1CCCCC1
NCGC00255255-01,CN(C)C(=N)NC(N)=N
NCGC00255632-01,[Na+].[Br-]
NCGC00256443-01,CCNC(=S)NCC
NCGC00159503-02,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@H](C)C4=CC(=O)C=C[C@]34C
NCGC00182034-01,CC(=O)CCC=C(C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
NCGC00260433-01,NC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O
NCGC00255896-01,[Na+].[H][C@]12CCC(=CC1=CC[C@@]3([H])[C@@](C)(CCC[C@]23C)C([O-])=O)C(C)C
NCGC00258816-01,[O-][N+](=O)C1=CC=CC=C1C(F)(F)F
NCGC00254473-01,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
NCGC00256130-01,CN(C)CCCNCCCN(C)C
NCGC00254017-01,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl
NCGC00260504-01,BrC1=C2C=CC=CC2=CC3=CC=CC=C13
NCGC00256167-01,CCNC(=O)C1CC(C)CCC1C(C)C
NCGC00254776-01,CC1(C)CC(O)CC(C)(C)N1[O]
NCGC00258480-01,CCCCC(CC)COC(=O)COC1=C(Cl)C=C(Cl)C=C1
NCGC00090708-03,OC1=CC=CC2=CC=CN=C12
NCGC00258639-01,C1CCCCC1
NCGC00255408-01,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
NCGC00255322-01,BrCC1=CC=CC(OC2=CC=CC=C2)=C1
NCGC00094897-01,OC(=O)\C=C/C(O)=O.CN1CCC(CC1)=C2C3=CC=CC=C3SC4=CC=CC=C24
NCGC00016705-05,CC1=C(Cl)C=CC=C1NC2=C(C=CC=C2)C(O)=O
NCGC00257190-01,COC(=O)C1CCC(CC1)C(=O)OC
NCGC00181027-01,[Na+].[Na+].CN1C(CNC2=CC=C(C=C2)C(=O)NC(CCC([O-])=O)C([O-])=O)CNC3=NC(N)=NC(O)=C13
NCGC00256667-01,CC(C)C1CC=C(C)C=C1
NCGC00257091-01,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1
NCGC00257719-01,CC1(C)CC(O)CC(C)(C)N1
NCGC00090991-02,CN(C)CC1=CC=CC=C1
NCGC00254395-01,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1
NCGC00259876-01,CCC1=C(O)C=CC=C1
NCGC00258586-01,COC1=CC(=O)OC(CCC2=CC=CC=C2)C1
NCGC00256323-01,COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1
NCGC00015985-03,Cl.CCCCNC1=C(C(=O)OCC)C(C)=NC2=C1C=NN2CC
NCGC00257536-01,CC(=O)NC1=C(O)C=CC=C1
NCGC00255659-01,COP(=S)(OC)OC1=C(Cl)C=C(Cl)C(Cl)=C1
NCGC00255745-01,OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O
NCGC00255085-01,CCCCC(CC)(CO)CO
NCGC00257665-01,CCCCCCCC\C=C/CCCCCCCCO
NCGC00255685-01,O.O.O.[Na+].CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl
NCGC00255570-01,CCCCCCC1=CC=C(N)C=C1
NCGC00258240-01,[H][C@@]1(OC(=O)C2=C1C=CC(OC)=C2OC)[C@]3([H])N(C)CCC4=C3C=C5OCOC5=C4
NCGC00260266-01,BrCCCCCBr
NCGC00091285-01,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
NCGC00257842-01,CC(=O)NC1=C(C)C=CC=C1
NCGC00255151-01,CCCCCCOC(=O)C=C
NCGC00256885-01,O.OS(O)(=O)=O.COC1=CC=C(N)C=C1N
NCGC00258347-01,NC1=CC=NC=C1
NCGC00017063-01,O.O.Cl.Cl.CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=C2C=CC(Cl)=C3)=C1
NCGC00159486-02,OC(=O)CNC(=O)C1=CC=CC=C1
NCGC00095896-01,CC(\C=C\C=C(C)\C=C\C1=C(C)C(=O)CCC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C
NCGC00255678-01,CC1=CC(O)=C(Cl)C=C1C
NCGC00160573-01,COC1=CC=C(C(=O)CCC(O)=O)C2=C1C=CC=C2
NCGC00257366-01,CCOC(=O)C1=CC=C(C)C=C1
NCGC00065440-02,Cl.CCN(CC)CC(=O)NC1=C(C)C=C(C)C=C1C
NCGC00259233-01,[O-][N+](=O)C1=CC2=C(NC=N2)C=C1
NCGC00257087-01,CC(C)(C#N)\N=N\C(C)(C)C#N
NCGC00095933-01,NC1=CC(O)=C(C=C1)C(=O)OC2=CC=CC=C2
NCGC00257170-01,C1CN(CCO1)SSC2=NC3=C(S2)C=CC=C3
NCGC00256894-01,O=C1CCCCCCCCCCC=CCCC1
NCGC00254290-01,CCCCCCCCN(C)CCCCCCCC
NCGC00255606-01,OC(CCl)COCC=C
NCGC00164621-01,[Br-].C[N+]3(CCC(C(N)=O)(C1=CC=CC=C1)C2=CC=CC=C2)CCCCC3
NCGC00260110-01,[NH4+].CCCCCCCCCCCCOS([O-])(=O)=O
NCGC00016646-02,CCN(CC)CCNC(=O)C1=CC(Br)=C(N)C=C1OC
NCGC00260094-01,O=C1C2=C(N\C1=C3\NC4=C(C=CC=C4)C3=O)C=CC=C2
NCGC00256849-01,CCCCCCOC(=O)CCC
NCGC00255220-01,CC1CN1P(=O)(N2CC2C)N3CC3C
NCGC00257473-01,[H][C@@]12CC[C@@H](C)[C@]13C[C@@H](C(C)=C(C3)C(C)=O)C2(C)C
NCGC00256944-01,CCCCCCC(O)CCCCCCCCCCC(=O)OC
NCGC00095191-01,OC(C(O)C(O)=O)C(O)=O.CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
NCGC00091261-03,NC1=CC(=C(O)C=C1)[N+]([O-])=O
NCGC00259467-01,OC(=O)CCC(O)=O
NCGC00260500-01,CC[Ge](Cl)(CC)CC
NCGC00259745-01,Cl.Cl.CC1=C(N)C=CC(=C1)C2=CC(C)=C(N)C=C2
NCGC00255092-01,CCOC(=O)CC(C)C
NCGC00023212-07,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O
NCGC00254550-01,CCCCSP(=O)(SCCCC)SCCCC
NCGC00258029-01,O=C(C1=CC2=C(C=C1)C(=O)OC2=O)C3=CC4=C(C=C3)C(=O)OC4=O
NCGC00164378-01,NC#N
NCGC00257957-01,[Na+].CCN(CC)C([S-])=S
NCGC00260086-01,[Na+].OS([O-])(=O)=O
NCGC00259909-01,CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1
NCGC00183025-01,OC(=O)C1=C(I)C(NC(=O)COCCOCCOCC(=O)NC2=C(I)C=C(I)C(C(O)=O)=C2I)=C(I)C=C1I
NCGC00182043-01,Cl.[H][C@](CO)(NC(=O)[C@@]([H])(CC1=CNC2=CC=CC=C12)NC(=O)[C@]([H])(CC3=CNC=N3)NC(=O)[C@@]4([H])CCC(=O)N4)C(=O)N[C@@]([H])(CC5=CC=C(O)C=C5)C(=O)NCC(=O)NC([H])(CC(C)C)C(=O)N[C@]([H])(CCCNC(N)=N)C(=O)N6CCC[C@]6([H])C(=O)NCC(N)=O
NCGC00160613-01,OC(=O)[C@@H]1CCC(=O)N1
NCGC00254779-01,CCC1CCC(=O)O1
NCGC00094108-02,Cl.COC1=CC=C(OC)C(=C1)C(O)C(C)N
NCGC00255922-01,OS(=O)(=O)CCCN1CCOCC1
NCGC00256531-01,CC1=NC=CN1
NCGC00256723-01,CCCC1=C(O)C=CC=C1
NCGC00016491-01,OC[C@H]1O[C@@H](OC2=CC3=C(OC(=O)C=C3)C=C2O)[C@H](O)[C@@H](O)[C@@H]1O
NCGC00091071-01,ClC1=CC=C(C=C1)C(C2=CC=C(Cl)C=C2)C(Cl)(Cl)Cl
NCGC00257265-01,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OC1=CC=CC=C1
NCGC00182550-01,C[C@H]1CNCCC2=CC=C(Cl)C=C12
NCGC00094088-01,Cl.CN(CCCOC1=CC=C(Cl)C=C1Cl)CC#C
NCGC00016479-06,CN1C2=C(N(CCO)C=N2)C(=O)N(C)C1=O
NCGC00259824-01,O1C2=CC=CC=C2SC3=CC=CC=C13
NCGC00256967-01,CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O
NCGC00259131-01,O=CCC1=CC=CC=C1
NCGC00258292-01,CC(C)NC(=O)C=C
NCGC00025002-02,CCN(CC)CC1CCCCN1CC(=O)N2C3=C(C=CC=C3)C(=O)NC4=C2N=CC=C4
NCGC00015562-18,COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O
NCGC00258845-01,CC1=C(Cl)C=CC(O)=C1
NCGC00258934-01,CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C2=CC=CC=C2
NCGC00181914-01,CCN(CC)CCNC(=O)C1=CC=C(Cl)C=C1OCC=C
NCGC00182079-02,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
NCGC00260392-01,OS(O)(=O)=O.[H][C@]1(C[C@@H]2CC[C@H](C1)N2C)OC(=O)C(CO)C3=CC=CC=C3.[H][C@]4(C[C@@H]5CC[C@H](C4)N5C)OC(=O)C(CO)C6=CC=CC=C6
NCGC00255211-01,CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)COC(=O)CCC4=CC(=C(O)C(=C4)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
NCGC00259952-01,OC(=O)C1=CC=CC=C1
NCGC00255975-01,CCCCCCCCCCCCSC#N
NCGC00258204-01,CC(Cl)C(O)=O
NCGC00257139-01,BrC(Br)C#N
NCGC00257101-01,[Na+].[Na+].[O-][N+](=O)C1=CC=C(C=CC2=CC=C(C=C2S([O-])(=O)=O)[N+]([O-])=O)C(=C1)S([O-])(=O)=O
NCGC00255923-01,CCC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
NCGC00254530-01,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NCGC00259776-01,CNC(=O)ON=CC(C)(C)SC
NCGC00255389-01,Cl.CNNCC1=CC=C(C=C1)C(=O)NC(C)C
NCGC00255431-01,CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C
NCGC00254283-01,CCCCCCCCCC
NCGC00259660-01,OCCOC1=CC=CC=C1
NCGC00016854-03,[H][C@]12N3CCC[C@@]1(CC)C=C(N4C5=C(C=CC=C5)C(CC3)=C24)C(=O)OCC
NCGC00259969-01,CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC
NCGC00160595-01,CN1C2=CC=C(Cl)C=C2C3N(CCC4=CC=CC=C34)CC1=O
NCGC00257067-01,NCCOCCO
NCGC00016602-01,FC1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)N3C(=O)NC4=C3C=CC=C4
NCGC00260066-01,O=CC=O
NCGC00160375-01,OC(=O)C=CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2
NCGC00257528-01,CC\C=C/C#N
NCGC00254541-01,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
NCGC00258578-01,CC1=CC(N)=C(C)C=C1
NCGC00254464-01,CCCCCCCCCCCC(=O)OC
NCGC00181355-01,[Cl-].COC(=O)CCC[N+](C)(C)C
NCGC00256655-01,CC1=CC(C)=C(C(=O)P(=O)(C(=O)C2=C(C)C=C(C)C=C2C)C3=CC=CC=C3)C(C)=C1
NCGC00254653-01,CCNC1=NC(NCC)=NC(Cl)=N1
NCGC00016799-01,CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
NCGC00255541-01,C[Si](C)(O[Si](C)(C)C=C)C=C
NCGC00164587-01,OS(O)(=O)=O.CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@@H](C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)NC(=O)C(O)CN)OC[C@]1(C)O
NCGC00258645-01,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
NCGC00254664-01,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O
NCGC00258825-01,OC1=C(Br)C=C(Br)C=C1Br
NCGC00256542-01,[Cl-].[Cl-].[Cd++]
NCGC00016909-01,Cl.OCC(O)COC(=O)C1=C(NC2=C3C=CC(Cl)=CC3=NC=C2)C=CC=C1
NCGC00256775-01,CC(C)=CCC\C(C)=C/CCC(C)(O)C=C
NCGC00258341-01,CCCCCCCCCCCCOCC1CO1
NCGC00167446-01,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
NCGC00024563-02,CN1C(=O)COC2=C(C=C(Cl)C=C12)C(=O)NC3CN4CCC3CC4
NCGC00255653-01,CCCCCCCC\C=C\CCCOC(C)=O
NCGC00258233-01,FC(F)(F)C1=CC(=CC=C1)N=C=O
NCGC00016281-06,CCOC1=CC=C(NC(C)=O)C=C1
NCGC00260169-01,F[B-](F)(F)F.CCCCN1C=C[N+](C)=C1
NCGC00183136-01,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O
NCGC00094594-01,[H][C@](C)(CC)[C@@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CSC(=N1)[C@H](N)[C@H](C)CC)C(=O)N[C@@H]2CCCCNC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@@H](CC3=CN=CN3)NC(=O)[C@@H](CC4=CC=CC=C4)NC(=O)[C@H](NC(=O)[C@@H](CCCN)NC2=O)[C@]([H])(C)CC
NCGC00255735-01,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
NCGC00256435-01,COC1=C2OC(=O)C=CC2=CC3=C1OC=C3
NCGC00258655-01,CCN1CCOCC1
NCGC00259090-01,O=C1N(SC2CCCCC2)C(=O)C3=C1C=CC=C3
NCGC00258088-01,OC(=O)CC(O)=O
NCGC00090708-05,OC1=CC=CC2=CC=CN=C12
NCGC00258609-01,OC[C@H](O)[C@@H](O)[C@H](O)CO
NCGC00254462-01,CCOC(=O)C1=CC=C(O)C=C1
NCGC00255090-01,CC1=NN(CO)C(C)=C1
NCGC00256760-01,CCCCCCCCNC
NCGC00258691-01,CC1CC(CC2CCC(N)C(C)C2)CCC1N
NCGC00257335-01,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1
NCGC00094507-01,Cl.CC1=C(C=C(C#N)C(=O)N1)C2=CN3C=CN=C3C=C2
NCGC00257708-01,CC1=CC=C2C=CC3=CC=CC4=C3C2=C1C=C4
NCGC00160450-01,CC(=O)NC1=CC=C(CC(O)=O)C=C1
NCGC00015948-02,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]4([H])[C@@]2([H])[C@@H](CC5=CC(=O)CC[C@]45C)SC(C)=O
NCGC00256450-01,O(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00254604-01,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1
NCGC00260340-01,CCCCCCCCCCCCCC=O
NCGC00254724-01,C(CC1=CC=CC=C1)C2=CC=CC=C2
NCGC00259356-01,CCC(C)C(O)=O
NCGC00025125-07,COC1=CC2=C(C(OC)=C1OC)C3=CC=C(OC)C(=O)C=C3[C@H](CC2)NC(C)=O
NCGC00254433-01,N(NC1=CC=CC=C1)C2=CC=CC=C2
NCGC00254706-01,CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C
NCGC00256733-01,COC(=O)C=C(C)CCC=C(C)C
NCGC00256184-01,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00256447-01,OC1=CC=C(C=C1)C2=CC=CC=C2
NCGC00255615-01,CNP(=O)(OC)OC1=CC=C(C=C1Cl)C(C)(C)C
NCGC00164619-01,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
NCGC00258918-01,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00257009-01,NC1=NC(=O)N(C=C1)[C@H]2CS[C@@H](CO)O2
NCGC00259859-01,OC1=CC=C(C=C1)C(=O)C2=CC=C(O)C=C2O
NCGC00259691-01,CC1=CC=C(N)C=C1
NCGC00260173-01,CCC[N+]1=C(C)N(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
NCGC00256669-01,CC(C)C1=CC=C(C=C1)C#N
NCGC00255453-01,NC1=CC(Cl)=C(O)C(Cl)=C1
NCGC00182999-01,[H][C@@]12OCC(CSC3=NN=NN3CCO)=C(N1C(=O)[C@@]2(NC(=O)CSC(F)F)OC)C(O)=O
NCGC00168248-01,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(O)=O
NCGC00095073-01,CC(C)NC1=C(C)N(C)N(C1=O)C2=CC=CC=C2
NCGC00257179-01,CCCCCCCCCCCCS
NCGC00255435-01,CCOP(O)OCC
NCGC00259714-01,OC1=C(Br)C2=C(C=C1Br)C3(OC(=O)C4=C3C(Cl)=C(Cl)C(Cl)=C4Cl)C5=C(O2)C(Br)=C(O)C(Br)=C5
NCGC00256829-01,CC(=O)OCC=C(C)C
NCGC00256039-01,[K+].CC(=O)CC(=O)NC1=CC=C(C=C1)S([O-])(=O)=O
NCGC00018221-08,OC(=O)C1=C2C=CC=CC2=NC(=C1)C3=CC=CC=C3
NCGC00090965-04,CCCOC(=O)C1=CC=C(O)C=C1
NCGC00255035-01,CC(C)OCCO
NCGC00254469-01,CC(Cl)(Cl)C(O)=O
NCGC00256866-01,CCCC(C)C(=O)OCC
NCGC00255804-01,CN(C)C(=O)C(Cl)C(C)=O
NCGC00258679-01,CC(C)CC(C)(C)C
